ticker,carrier,fiscal_year,quarter,period_end,buyback_musd,avg_price,shares_bought,value_today_musd,spy_value_musd,debt_value_musd,even_spend_musd,even_value_musd,net_debt_ebitda_2019
JBLU,JetBlue,2018,Q2,6/30/18,0,19.25,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2018,Q3,9/30/18,0,18.96,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2018,Q4,12/31/18,244,17.43,13998852.55,64.81,783.19,328.65,196.25,52.13,1.376603774
JBLU,JetBlue,2019,Q1,3/31/19,0,17.12,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2019,Q2,6/30/19,0,17.88,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2019,Q3,9/30/19,0,18.14,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2019,Q4,12/31/19,535,18.58,28794402.58,133.32,1474.46,693.24,196.25,48.9,1.376603774
JBLU,JetBlue,2020,Q1,3/31/20,0,16.58,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2020,Q2,6/30/20,0,9.85,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2020,Q3,9/30/20,0,11.22,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2020,Q4,12/31/20,160,13.72,11661807.58,53.99,375.44,199.43,196.25,66.23,1.376603774
LUV,Southwest,2015,Q1,3/31/15,300,38.09,7876082.961,312.05,1354.62,467.32,501.1923077,521.32,-0.018199234
LUV,Southwest,2015,Q2,6/30/15,380,34.15,11127379.21,440.87,1676.63,586.26,501.1923077,581.47,-0.018199234
LUV,Southwest,2015,Q3,9/30/15,500,32.3,15479876.16,613.31,2275.57,763.9,501.1923077,614.78,-0.018199234
LUV,Southwest,2015,Q4,12/31/15,0,38.81,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2016,Q1,3/31/16,500,35.73,13993842.71,554.44,2339.01,749.22,501.1923077,555.76,-0.018199234
LUV,Southwest,2016,Q2,6/30/16,700,37.64,18597236.98,736.82,3063.78,1038.83,501.1923077,527.56,-0.018199234
LUV,Southwest,2016,Q3,9/30/16,250,33.53,7456009.544,295.41,1044.86,367.41,501.1923077,592.22,-0.018199234
LUV,Southwest,2016,Q4,12/31/16,300,39.63,7570022.71,299.92,1234.21,436.61,501.1923077,501.07,-0.018199234
LUV,Southwest,2017,Q1,3/31/17,550,47.63,11547344.11,457.51,2115.27,792.84,501.1923077,416.91,-0.018199234
LUV,Southwest,2017,Q2,6/30/17,400,51.63,7747433.663,306.95,1485.06,571.08,501.1923077,384.61,-0.018199234
LUV,Southwest,2017,Q3,9/30/17,300,49.92,6009615.385,238.1,1077.39,424.15,501.1923077,397.78,-0.018199234
LUV,Southwest,2017,Q4,12/31/17,350,52.41,6678114.864,264.59,1185.79,490.03,501.1923077,378.88,-0.018199234
LUV,Southwest,2018,Q1,3/31/18,500,53.63,9323140.034,369.38,1606.17,693.4,501.1923077,370.26,-0.018199234
LUV,Southwest,2018,Q2,6/30/18,500,47.14,10606703.44,420.24,1616.62,686.74,501.1923077,421.24,-0.018199234
LUV,Southwest,2018,Q3,9/30/18,500,52.54,9516558.812,377.05,1526.76,680.07,501.1923077,377.95,-0.018199234
LUV,Southwest,2018,Q4,12/31/18,500,47.82,10455876.2,414.26,1604.9,673.46,501.1923077,415.25,-0.018199234
LUV,Southwest,2019,Q1,3/31/19,500,47.64,10495382.03,415.83,1583.19,667.07,501.1923077,416.82,-0.018199234
LUV,Southwest,2019,Q2,6/30/19,450,46.94,9586706.434,379.83,1338.89,594.59,501.1923077,423.03,-0.018199234
LUV,Southwest,2019,Q3,9/30/19,500,47.59,10506408.91,416.26,1442.74,654.24,501.1923077,417.26,-0.018199234
LUV,Southwest,2019,Q4,12/31/19,550,50.59,10871713.78,430.74,1515.8,712.68,501.1923077,392.51,-0.018199234
LUV,Southwest,2020,Q1,3/31/20,451,45.38,9938298.81,393.76,1248.54,578.78,501.1923077,437.58,-0.018199234
LUV,Southwest,2020,Q2,6/30/20,0,29.17,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2020,Q3,9/30/20,0,32.62,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2020,Q4,12/31/20,0,39.77,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2021,Q1,3/31/21,0,48.85,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2021,Q2,6/30/21,0,55.02,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2021,Q3,9/30/21,0,46.37,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2021,Q4,12/31/21,0,43.1,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2022,Q1,3/31/22,0,40.36,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2022,Q2,6/30/22,0,39.47,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2022,Q3,9/30/22,0,34.39,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2022,Q4,12/31/22,0,33.1,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2023,Q1,3/31/23,0,31.42,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2023,Q2,6/30/23,0,29.11,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2023,Q3,9/30/23,0,30.48,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2023,Q4,12/31/23,0,24.42,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2024,Q1,3/31/24,0,29.26,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2024,Q2,6/30/24,0,26.49,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2024,Q3,9/30/24,0,26.48,0,0,0,0,0,0,-0.018199234
LUV,Southwest,2024,Q4,12/31/24,250,30.66,8153946.51,323.06,333.4,266.88,501.1923077,647.66,-0.018199234
LUV,Southwest,2025,Q1,3/31/25,750,30.62,24493794.91,970.44,999.24,793.03,501.1923077,648.51,-0.018199234
LUV,Southwest,2025,Q2,6/30/25,1500,29.28,51229508.2,2029.71,2048.7,1570.83,501.1923077,678.18,-0.018199234
LUV,Southwest,2025,Q3,9/30/25,250,32,7812500,309.53,303.59,259.26,501.1923077,620.54,-0.018199234
LUV,Southwest,2025,Q4,12/31/25,50,34.33,1456452.083,57.7,57.43,51.35,501.1923077,578.42,-0.018199234
LUV,Southwest,2026,Q1,3/31/26,1250,44.6,28026905.83,1110.43,1423.05,1271.53,501.1923077,445.23,-0.018199234
LUV,Southwest,2026,Q2,6/30/26,0,41.66,0,0,0,0,0,0,-0.018199234
UAL,United,2015,Q1,3/31/15,195,67.75,2878228.782,320.58,880.5,303.76,348.2142857,572.46,2.312945819
UAL,United,2015,Q2,6/30/15,250,57.89,4318535.153,481,1103.04,385.7,348.2142857,669.96,2.312945819
UAL,United,2015,Q3,9/30/15,265,56.42,4696915.987,523.14,1206.05,404.87,348.2142857,687.42,2.312945819
UAL,United,2015,Q4,12/31/15,523,57.74,9057845.514,1008.86,2338.52,791.28,348.2142857,671.7,2.312945819
